trial,wacc,g,exit_multiple,enterprise_value,equity_value,price_per_share
117,0.08596982943570701,0.018526369000153205,0.0,9710683.799407326,11618726.799407326,9980.009276247487
118,0.1206423422177253,0.0160439300649409,0.0,5851325.745204645,7759368.745204645,6664.979166126649
119,0.1147789954903016,0.022042092528577452,0.0,6619757.010259226,8527800.010259226,7325.030072375215
120,0.1153654792056457,0.016548503235250873,0.0,6255375.356600463,8163418.356600463,7012.041192750784
121,0.0898591881780789,0.018909611396231287,0.0,9150372.177829217,11058415.177829217,9498.724598719478
122,0.12454191466404148,0.019355948786222515,0.0,5745578.447197475,7653621.447197475,6574.146578936157
123,0.08247223405811578,0.01982591636674973,0.0,10511164.754483255,12419207.754483255,10667.58955032061
124,0.11230285640700405,0.02172291114268584,0.0,6814647.178906328,8722690.178906329,7492.432725396262
125,0.13635683438714968,0.018290914294284033,0.0,5008112.091428708,6916155.091428708,5940.6932583995085
126,0.08864195512303967,0.0193156768695831,0.0,9382843.812226392,11290886.812226392,9698.408187791094
127,0.09500553405595842,0.01996432411762653,0.0,8545464.679402187,10453507.679402187,8979.133894006345
128,0.10499477047631461,0.02037399489379697,0.0,7418846.292032082,9326889.292032082,8011.41495622065
129,0.095947865188257,0.020244567936769806,0.0,8450611.799550131,10358654.799550131,8897.659164705488
130,0.08024004853400801,0.02109001443805645,0.0,11163832.64798958,13071875.64798958,11228.204473449217
131,0.1045284446220904,0.022109598774104344,0.0,7604680.550026219,9512723.55002622,8171.03895381053
132,0.08756544429410842,0.02098158528912742,0.0,9766855.045532443,11674898.045532443,10028.258070376603
133,0.11060388645952772,0.021133963808773047,0.0,6929062.0255480865,8837105.025548086,7590.710380989594
134,0.08970863648649295,0.016044442083133804,0.0,8853890.997265048,10761933.997265048,9244.059437609558
135,0.1267490160752631,0.020125569247914202,0.0,5636922.227883324,7544965.227883324,6480.815347778152
136,0.09175120061495644,0.021198768870004023,0.0,9134051.875836711,11042094.875836711,9484.70612939075
137,0.09866907725691486,0.021822352986426125,0.0,8258558.427330529,10166601.42733053,8732.693203341805
138,0.11570275826054505,0.018269123064415516,0.0,6323902.233712418,8231945.233712418,7070.902966597164
139,0.08503703525349067,0.018352401812778387,0.0,9843110.96706363,11751153.96706363,10093.758776038163
140,0.10691189901906194,0.018564748311791005,0.0,7097077.92888034,9005120.928880341,7735.029143515153
141,0.12310714131423642,0.021341034749728358,0.0,5938459.774971386,7846502.774971386,6739.823720126598
142,0.07938775148158159,0.022584702637310522,0.0,11619678.962899301,13527721.962899301,11619.757741710446
143,0.10626950787798456,0.018981349731770996,0.0,7188203.356664865,9096246.356664866,7813.302144532611
144,0.10739824191372635,0.022269905784067623,0.0,7317814.91335872,9225857.91335872,7924.633150110565
145,0.11522734307665965,0.020308699522911484,0.0,6478268.261145998,8386311.261145998,7203.497046165605
146,0.08494573933682877,0.01968928555709391,0.0,10040201.920684736,11948244.920684736,10263.051812991527
147,0.08369315080373585,0.019471539425455077,0.0,10232372.789257983,12140415.789257983,10428.1186988988
148,0.11132912348425346,0.021866528411505392,0.0,6911933.19390381,8819976.193903811,7575.997417886799
149,0.10795477009849778,0.020813944541967676,0.0,7156142.293925794,9064185.293925794,7785.763008010474
150,0.10725739275518814,0.025689563569119094,0.0,7600617.323510766,9508660.323510766,8167.548809062674
151,0.10869672314245463,0.017869438392506688,0.0,6885202.73366174,8793245.733661741,7553.037050044443
152,0.09329962917632263,0.02129525425507494,0.0,8919724.598873615,10827767.598873615,9300.607798379673
153,0.10698380545741505,0.01867699747547122,0.0,7098097.32790766,9006140.32790766,7735.904765424892
154,0.10789608709948022,0.017826782532528392,0.0,6954953.172858164,8862996.172858164,7612.949813484078
155,0.09278472872960447,0.01997283215741257,0.0,8847821.959946128,10755864.959946128,9238.84638373658
156,0.13148661766717135,0.020343381198517592,0.0,5355442.697420533,7263485.697420533,6239.035988164003
157,0.11060749381367681,0.027295433887650232,0.0,7373341.199049228,9281384.199049227,7972.32794970729
158,0.08563044754196027,0.019539635460791994,0.0,9901383.08013279,11809426.08013279,10143.812128614318
159,0.11334830412950744,0.01717455317628829,0.0,6447725.1743754,8355768.1743754,7177.2617886749695
160,0.08887977494659018,0.020682526793735966,0.0,9513821.694465851,11421864.694465851,9810.912810913804
161,0.11530626905613678,0.014813399906134079,0.0,6167410.595631018,8075453.595631018,6936.483074756071
162,0.12087893368511106,0.019770108043489335,0.0,6017595.690016633,7925638.690016633,6807.798221969278
163,0.09118976522472434,0.020040063205737903,0.0,9083815.854254767,10991858.854254767,9441.555449454361
164,0.11795064193866482,0.021986500957363028,0.0,6356896.179921939,8264939.179921939,7099.2434117178655
165,0.10969171390404747,0.022434055623569617,0.0,7104232.246499801,9012275.246499801,7741.174408606597
166,0.11583090239991735,0.018741075952730706,0.0,6340261.91652496,8248304.91652496,7084.955262433396
167,0.1319518947398092,0.019623464963425166,0.0,5299594.336283317,7207637.336283317,6191.064538982406
168,0.09981917825995694,0.018084697923473322,0.0,7789562.070427125,9697605.070427125,8329.844588925549
169,0.09219395753463765,0.017179843612980767,0.0,8634717.060696576,10542760.060696576,9055.798024992764
170,0.09015728355561714,0.020774736948451587,0.0,9325006.90262631,11233049.90262631,9648.728657126188
171,0.09126284572551842,0.016816036128508502,0.0,8722231.562650232,10630274.562650232,9130.969388979755
172,0.10234347435878843,0.018963432748570343,0.0,7586244.091795486,9494287.091795485,8155.202793158809
173,0.10861727962224965,0.017512065100251908,0.0,6868930.3557809815,8776973.355780981,7539.0597455600255
174,0.10765036198995027,0.02137420796572565,0.0,7226348.308576403,9134391.308576403,7846.06709206013
175,0.11590774873554036,0.02450357524816622,0.0,6676679.230984331,8584722.23098433,7373.923922852027
176,0.1036950283781686,0.01674603004299167,0.0,7278517.588391046,9186560.588391047,7890.878361442232
177,0.12530301115735976,0.015367453792756077,0.0,5520888.135166714,7428931.135166714,6381.146826289911
178,0.09953014750143066,0.019687782786624832,0.0,7959907.82368942,9867950.82368942,8476.164596881481
179,0.14430253749884428,0.020039244489894397,0.0,4673301.802124923,6581344.802124923,5653.104966607905
180,0.11288501021647508,0.020546648266893244,0.0,6688596.557748271,8596639.557748271,7384.160417237821
181,0.09064263665375576,0.018884198711914137,0.0,9032737.01204723,10940780.01204723,9397.680821205317
182,0.08743661252908332,0.01949840175293642,0.0,9596183.244302966,11504226.244302966,9881.658000603818
183,0.11073708622864778,0.020918776026351504,0.0,6902513.093185026,8810556.093185026,7567.905938142094
184,0.10014805822011223,0.022601077231612098,0.0,8149541.421738464,10057584.421738464,8639.05207158432
185,0.11421000741138138,0.015112378074204293,0.0,6265435.781092538,8173478.781092538,7020.682684326179
186,0.11059856436860317,0.019077651402421344,0.0,6794457.645023556,8702500.645023556,7475.090744737637
187,0.1024075663101469,0.020534521984852658,0.0,7706835.876543681,9614878.876543682,8258.78618497138
188,0.09079809422897392,0.01770505973847316,0.0,8880608.342249885,10788651.342249885,9267.00853998444
189,0.08077729162971203,0.02432792407941825,0.0,11627139.190252107,13535182.190252107,11626.165770702719
190,0.09680227571899468,0.01841147529942816,0.0,8168772.465998062,10076815.465998061,8655.57074901053
191,0.11634598191485208,0.019896768282481794,0.0,6364929.845111931,8272972.845111931,7106.144000267936
192,0.10671140616195306,0.021390055242105726,0.0,7321069.579938519,9229112.57993852,7927.428775071739
193,0.08481391831932017,0.018521788027995263,0.0,9903526.821387986,11811569.821387986,10145.653514334294
194,0.10609771388776773,0.015383567380488957,0.0,6956013.204226563,8864056.204226563,7613.860336906513
195,0.10927976069593255,0.018928363682708668,0.0,6902444.430016652,8810487.430016652,7567.846959299649
196,0.090242138456983,0.0225736013898176,0.0,9533617.885538109,11441660.885538109,9827.916926248161
197,0.10580587658918292,0.019157762183037153,0.0,7246288.516601313,9154331.516601313,7863.194912043732
198,0.10437313077669,0.017883914246352554,0.0,7294722.51720421,9202765.51720421,7904.797729946925
199,0.08635544553254065,0.022314180523756805,0.0,10159979.903823558,12068022.903823558,10365.936182634907
200,0.10886681040522424,0.019173062759942367,0.0,6956400.028120857,8864443.028120857,7614.192602749405
201,0.11191176789552351,0.018724597965874456,0.0,6658631.023144718,8566674.023144718,7358.421253345403
202,0.11974576864762915,0.020373640224158274,0.0,6131283.268202223,8039326.268202223,6905.451183819123
203,0.11930703078052354,0.021926875524046967,0.0,6247958.919925919,8156001.919925919,7005.670778153169
204,0.08283495948064362,0.025954283829331366,0.0,11460446.372923227,13368489.372923227,11482.983484730481
205,0.08943262440127316,0.022068090269143557,0.0,9600192.56276791,11508235.56276791,9885.101840549656
206,0.11122552900812989,0.02289959991597086,0.0,6991649.639017712,8899692.639017712,7644.47057122291
207,0.11120678926368313,0.018735084502530364,0.0,6719671.3029738795,8627714.30297388,7410.852347512351
208,0.11122571529459072,0.017435329735076308,0.0,6637622.953466168,8545665.953466168,7340.37618404584
209,0.16129097235982082,0.020155828374047807,0.0,3981964.5758451265,5890007.575845126,5059.27467432153
210,0.1120633576603975,0.02026792478814899,0.0,6742151.331506472,8650194.331506472,7430.1617690315
211,0.12053348460270898,0.017303718146588508,0.0,5919330.380612558,7827373.380612558,6723.39235579158
212,0.11781002645239803,0.019561763675239967,0.0,6233024.932493696,8141067.932493696,6992.84309611209
213,0.11327086876958696,0.020998294004297827,0.0,6683679.747936234,8591722.747936234,7379.9370794848255
214,0.09877096133039481,0.0209009834875452,0.0,8159555.370998087,10067598.370998088,8647.65364284323
215,0.114884538307399,0.02126071963346068,0.0,6563207.235183949,8471250.235183949,7276.456137419643
216,0.09190762178193641,0.020727411825343607,0.0,9056955.343096344,10964998.343096344,9418.48337321452
217,0.09994772089889986,0.01873247835182486,0.0,7829733.437901657,9737776.437901657,8364.350144220629
218,0.09621954678256345,0.018715248433377893,0.0,8268464.629620176,10176507.629620176,8741.202224377406
219,0.10472811209079483,0.01700262150501531,0.0,7196050.460543166,9104093.460543167,7820.042484575817
220,0.13821987850010262,0.024461937597962738,0.0,5132856.766979437,7040899.766979437,6047.84381290108
221,0.07549102211112377,0.020033625911548232,0.0,12047584.46065237,13955627.46065237,11987.310995234813
222,0.11379390285561769,0.01943786736051287,0.0,6544204.438466196,8452247.438466195,7260.1335152604315
223,0.07930926193215522,0.017678019796368852,0.0,10791304.074358921,12699347.074358921,10908.217724067103
224,0.0964210220131585,0.027339144755819444,0.0,9153312.217268603,11061355.217268603,9501.249971885074
225,0.11983425895451048,0.017316679919442763,0.0,5968725.569769076,7876768.569769076,6765.820795197626
226,0.10446420028643194,0.018927880185984815,0.0,7363212.386344304,9271255.386344304,7963.627715464958
227,0.0873338283310604,0.021039592090715153,0.0,9813437.853606928,11721480.853606928,10068.270789904593
228,0.09277044436110048,0.021500532414360694,0.0,9018802.873616736,10926845.873616736,9385.711968404687
229,0.11369396623402013,0.02239483013803921,0.0,6735256.730553764,8643299.730553765,7424.239589893286
230,0.09254450052424294,0.02451902126942316,0.0,9410482.12297849,11318525.12297849,9722.148361946822
231,0.10674687884372962,0.02126539413865178,0.0,7308177.67443637,9216220.67443637,7916.35515756431
232,0.1041835775985572,0.017359923000083332,0.0,7275094.551246785,9183137.551246785,7887.938113079183
233,0.09372599478591274,0.019357637187195548,0.0,8653637.276201006,10561680.276201006,9072.049713280368
234,0.13565916133987987,0.020769580931284712,0.0,5135231.827873502,7043274.827873502,6049.883892693268
235,0.11300878533477016,0.02517056510376456,0.0,6981571.029516863,8889614.029516863,7635.813459471622
236,0.07312286120013589,0.01650548630393926,0.0,11924659.399350712,13832702.399350712,11881.72341466304
237,0.10629681472154141,0.02300644126306307,0.0,7487925.9219947215,9395968.921994722,8070.75152207071
238,0.09357320302847418,0.02044978592386604,0.0,8789368.648565706,10697411.648565706,9188.637389250734
239,0.11628650002194335,0.022094576338073702,0.0,6497202.026107481,8405245.02610748,7219.760372880502
240,0.09161218892350949,0.01974501320841017,0.0,8989174.897454292,10897217.897454292,9360.262753353625
241,0.10177895337799651,0.017893918424684185,0.0,7561347.762650607,9469390.762650607,8133.817868622751
242,0.11107480918470686,0.02187718194850333,0.0,6935936.391685443,8843979.391685443,7596.615179252227
243,0.11648632791255181,0.021636077567764055,0.0,6453866.385808986,8361909.385808986,7182.536837149103
244,0.08549555389416336,0.022430142414349305,0.0,10334051.407776775,12242094.407776775,10515.456457461583
245,0.09848248146238577,0.01996673841155341,0.0,8108581.3440046795,10016624.34400468,8603.869046559594
